MID,DISCIPLINE,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,COMMONNAME,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IRS990_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8401100001,GMU, , , , , ,WATKINS COLLECTION,WATKINS COLLECTION, ,WATKINS GALLERY AT AMERICAN UNIVERSITY,4400 MASS AVE NW,WASHINGTON,DC,20016-8004,20016, , , , , ,2028851000, , , , , , , , , , , , , , , ,-77.08947,38.93694,2,2,1,11,001,4400 MASS AVE NW,WASHINGTON,DC,20016-8004,20016,0,0,1,0,0,0,0,0, 
8401100004,GMU,530206027, ,A50,089522580,712110,SMITHSONIAN INSTITUTION ARCHIVES,SMITHSONIAN INSTITUTION OFFICE OF THE COMPTROLLER, , ,600 MARYLAND AVE SW,WASHINGTON,DC,20024,20024, , , , , ,2026336440,HTTP://SIARCHIVES.SI.EDU/,SMITHSONIAN INSTITUTION OFFICE OF THE COMPTROLLER,201309,9,2064935223,1371587031,1000 JEFFERSON DR SW,WASHINGTON,DC,20560-0008,192401, , , , ,-77.024,38.88862,2,2,1,11,001,1000 JEFFERSON DR SW,WASHINGTON,DC,20560-0008,20560,1,1,0,0,0,0,0,0, 
8401100008,GMU, , , , , ,PRESIDENT LINCOLN'S COTTAGE,PRESIDENT LINCOLN'S COTTAGE, , ,140 ROCK CRK,WASHINGTON,DC,20011,20011, , , , , ,2028290436,HTTP://LINCOLNCOTTAGE.ORG/, , , , , , , , , , , , , , ,-77.02075,38.95267,2,2,1,11, ,140 ROCK CRK,WASHINGTON,DC,20011,20011,0,0,0,0,1,0,0,0, 
8401100009,GMU, , , , , ,POPE JOHN PAUL II CULTURAL CENTER,POPE JOHN PAUL II CULTURAL CENTER, , ,3900 HAREWOOD RD NE,WASHINGTON,DC,20017,20017, , , , , ,2026355400,HTTP://WWW.JP2SHRINE.ORG/, , , , , , , , , , , , , , ,-77.00461,38.93765,2,2,1,11,001,3900 HAREWOOD RD NE,WASHINGTON,DC,20017,20017,0,0,0,0,1,0,0,0, 
8401100010,GMU, , , , , ,OCTAGON MUSEUM,OCTAGON MUSEUM, , ,1799 NEW YORK AVE NW,WASHINGTON,DC,20006,20006, , , , , ,2026383221,HTTP://ARCHITECTSFOUNDATION.ORG/PRESERVATION/, , , , , , , , , , , , , , ,-77.04143,38.89641,2,2,1,11,001,1799 NEW YORK AVE NW,WASHINGTON,DC,20006,20006,0,0,0,0,1,0,0,0, 
8401100012,GMU, , , ,132007720, ,POWHATAN MUSEUM,POWHATAN MUSEUM, , ,1519 MONROE ST NW,WASHINGTON,DC,20010,20010, , , , , ,2022650136, , , , , , , , , , , , , , , ,-77.03549,38.93243,2,2,1,11,001,1519 MONROE ST NW,WASHINGTON,DC,20010,20010,0,0,0,0,1,0,0,0, 
8401100014,GMU, , , , , ,SMITHSONIAN INSTITUTION NATIONAL MUSEUM OF AFRICAN AMERICAN HISTORY AND CULTURE,SMITHSONIAN INSTITUTION NATIONAL MUSEUM OF AFRICAN AMERICAN HISTORY AND CULTURE, , ,14TH ST CNSTTUTION AVE,WASHINGTON,DC,20560,20560, , , , , , ,HTTP://WWW.NMAAHC.SI.EDU/, , , , , , , , , , , , , , ,-77.01554,38.89007,2,2,1,11,001,14TH ST CNSTTUTION AVE,WASHINGTON,DC,20560,20560,0,1,0,0,0,1,0,0, 
8401100015,GMU, , , , , ,NATIONAL SCIENCE RESOURCES CENTER,NATIONAL SCIENCE RESOURCES CENTER, , ,900 JEFFERSON DR SW,WASHINGTON,DC,20560,20560,600 MARYLAND AVE SUITE 1005,WASHINGTON,DC,20560,20560,2026335330,HTTP://WWW.SMITHSONIANEDUCATION.ORG/TOOLS/CONTACT.ASP, , , , , , , , , , , , , , ,-77.01554,38.89007,2,2,1,11,001,600 MARYLAND AVE SUITE 1005,WASHINGTON,DC,20560,20560,0,0,0,0,1,0,0,0, 
8401100018,GMU, , , , , ,NATIONAL MUSEUM OF THE AMERICAN INDIAN,NATIONAL MUSEUM OF THE AMERICAN INDIAN, ,SMITHSONIAN INSTITUTION NATIONAL MUSEUM OF AMERICAN INDIAN,4TH AND INDEPENDENCE AV,WASHINGTON,DC,20024,20024, , , , , ,2026336644,HTTP://WWW.NMAI.SI.EDU/, , , , , , , , , , , , , , ,-77.0161,38.8806,2,2,1,11, ,4TH AND INDEPENDENCE AV,WASHINGTON,DC,20024,20024,0,1,0,0,0,1,0,0, 
8401100021,GMU, , , , , ,NATIONAL MUSEUM HEALTH & MEDICINE,NATIONAL MUSEUM HEALTH MDCN, , ,6825 16TH ST NW,WASHINGTON,DC,20306,20306, , , , , ,2027822200, , , , , , , , , , , , , , , ,-77.03628,38.97248,2,2,1,11,001,6825 16TH ST NW,WASHINGTON,DC,20306,20306,0,0,0,0,1,0,0,0, 
8401100022,GMU, , , , , ,SMITHSONIAN INSTITUTION NATIONAL POSTAL MUSEUM,SMITHSONIAN INSTITUTION NATIONAL POSTAL MUSEUM, , ,2 MASSACHUSETTS AVE NE,WASHINGTON,DC,20002,20002, , , , , ,2026335555,HTTP://POSTALMUSEUM.SI.EDU, , , , , , , , , , , , , , ,-77.00818,38.89817,2,2,1,11,001,2 MASSACHUSETTS AVE NE,WASHINGTON,DC,20002,20002,0,0,0,0,1,1,0,0, 
8401100023,GMU,530206027, ,A50,089522580,712110,SMITHSONIAN STEVEN F. UDVAR-HAZY CENTER,SMITHSONIAN INSTITUTION OFFICE OF THE COMPTROLLER,SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION NATIONAL AIR AND SPACE MUSEUM,SIXTH ST & INDEPENDENCE,WASHINGTON,DC,20560,20560, , , , , ,2026332214,HTTP://AIRANDSPACE.SI.EDU/,SMITHSONIAN INSTITUTION OFFICE OF THE COMPTROLLER,201309,9,2064935223,1371587031,1000 JEFFERSON DR SW,WASHINGTON,DC,20560-0008,192401, , , , ,-77.024,38.88862,2,2,1,11,001,1000 JEFFERSON DR SW,WASHINGTON,DC,20560-0008,20560,1,0,0,0,1,1,0,0, 
8401100028,GMU, , , , , ,NATIONAL MUSEUM OF AFRICAN ART,NATIONAL MUSEUM OF AFRICAN ART, , ,750 9TH ST NW,WASHINGTON,DC,20560,20560, , , , , ,2026334600, , , , , , , , , , , , , , , ,-77.01554,38.89007,2,2,1,11,001,750 9TH ST NW,WASHINGTON,DC,20560,20560,0,0,0,0,1,0,0,0, 
8401100029,GMU, , , , , ,NATIONAL AIR AND SPACE MUSEUM,NATIONAL AIR AND SPACE MUSEUM, , ,14TH ST & CONSTITUTION AVE N,WASHINGTON,DC,20439,20439, , , , , ,2026331000,HTTP://AIRANDSPACE.SI.EDU, , , , , , , , , , , , , , ,-77.03023,38.90477,2,2,1,11,001,14TH ST & CONSTITUTION AVE N,WASHINGTON,DC,20439,20439,0,0,0,0,1,0,0,0, 
8401100030,GMU, , , , , ,NATIONAL MUSEUM OF CRIME AND PUNISHMENT,NATIONAL MUSEUM OF CRIME AND PUNISHMENT, , ,575 7TH ST NW,WASHINGTON,DC,20004,20004, , , , , ,2023931099, , , , , , , , , , , , , , , ,-77.02182,38.89699,2,2,1,11,001,575 7TH ST NW,WASHINGTON,DC,20004,20004,0,0,0,0,1,0,0,0, 
8401100033,GMU,530193519, ,B03, ,712190,NATIONAL GEOGRAPHIC MUSEUM,NATIONAL GEOGRAPHIC SOCIETY, , ,1145 17TH ST NW,WASHINGTON,DC,20036,20036, , , , , ,2028577588, ,NATIONAL GEOGRAPHIC SOCIETY,201312,9,685911957,529780148,1145 17TH ST NW,WASHINGTON,DC,20036-4707,193804, , , , ,-77.0381,38.90514,2,2,1,11,001,1145 17TH ST NW,WASHINGTON,DC,20036-4707,20036,1,0,0,0,1,0,0,0, 
8401100034,GMU,530206027, ,A50,089522580,712110,SMITHSONIAN NATIONAL MUSEUM OF AMERICAN HISTORY,SMITHSONIAN INSTITUTION OFFICE OF THE COMPTROLLER,SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION NATIONAL MUSEUM OF AMERICAN HISTORY,1400 CONSTITUTION AVE N,WASHINGTON,DC,20560,20560,10TH ST & CONSTITUTION AVE NW,WASHINGTON,DC,20560,20560,2026331000,HTTP://AMERICANHISTORY.SI.EDU/,SMITHSONIAN INSTITUTION OFFICE OF THE COMPTROLLER,201309,9,2064935223,1371587031,1000 JEFFERSON DR SW,WASHINGTON,DC,20560-0008,192401, , , , ,-77.01554,38.89007,2,2,1,11,001,10TH ST & CONSTITUTION AVE NW,WASHINGTON,DC,20560,20560,1,1,0,0,0,1,0,0, 
8401100035,GMU,391682462, , , , ,NATIONAL GUARD MEMORIAL MUSEUM,NATIONAL GUARD MEMORIAL MUSEUM, , ,1 MASSACHUSETTS AVE NW,WASHINGTON,DC,20001,20001, , , , , ,2027890031,HTTP://WWW.NGEF.ORG, , , , , , , , , , , , , , ,-77.00955,38.89809,2,2,1,11,001,1 MASSACHUSETTS AVE NW,WASHINGTON,DC,20001,20001,0,0,0,0,1,0,0,0, 
8401100039,GMU, , , , , ,LAOGAI MUSEUM,LAOGAI MUSEUM, , ,1734 20TH ST NW,WASHINGTON,DC,20009,20009, , , , , ,2027309308, , , , , , , , , , , , , , , ,-77.0451,38.91368,2,2,1,11,001,1734 20TH ST NW,WASHINGTON,DC,20009,20009,0,0,0,0,1,0,0,0, 
8401100043,GMU, , , , , ,LILLIAN AND ALBERT SMALL JEWISH MUSEUM,LILLIAN AND ALBERT SMALL JEWISH MUSEUM, , ,600 I STREET NW,WASHINGTON,DC,20001,20001, , , , , ,2027890900, , , , , , , , , , , , , , , ,-77.02091,38.90086,2,2,1,11,001,600 I STREET NW,WASHINGTON,DC,20001,20001,0,0,1,0,0,0,0,0, 
8401100044,GMU, , , , , ,INTERNATIONAL SPY MUSEUM,THE INTERNATIONAL SPY MUSEUM, , ,800 F STREET,WASHINGTON,DC,20004,20004, , , , , ,1013937798,HTTP://WWW.SPYMUSEUM.ORG/, , , , , , , , , , , , , , ,-77.02329,38.89684,2,2,1,11,001,800 F STREET,WASHINGTON,DC,20004,20004,0,0,0,0,1,0,0,0, 
8401100045,GMU,526037451, , ,825099997,813211,KREEGER MUSEUM,DAVID LLOYD KREEGER FOUNDATION, , ,2401 FOXHALL ROAD NW,WASHINGTON,DC,20007,20007,2401 FOXHALL ROAD NW,WASHINGTON,DC,20007,20007,2023373050,HTTPS://WWW.KREEGERMUSEUM.ORG/,DAVID LLOYD KREEGER FOUNDATION,201312,6,4314035, ,2401 FOXHALL RD NW,WASHINGTON,DC,20007-1149,196204, , , , ,-77.08888,38.92284,2,2,1,11,001,2401 FOXHALL ROAD NW,WASHINGTON,DC,20007,20007,1,0,0,0,1,0,0,0, 
8401100046,GMU, , , , , ,KINDALEW ENTERPRISES,KINDALEW ENTERPRISES, , ,3210 WISCONSIN AVE NW,WASHINGTON,DC,20016,20016, , , , , ,2029662936, , , , , , , , , , , , , , , ,-77.07307,38.93238,2,2,1,11,001,3210 WISCONSIN AVE NW,WASHINGTON,DC,20016,20016,0,0,0,0,1,0,0,0, 
8401100047,GMU, , , , , ,KLUTZNICK NATIONAL JEWISH MUSEUM,KLUTZNICK NATIONAL JEWISH MUSEUM, ,KLUTZNICK NATIONAL JEWISH MSM,2020 K ST NW,WASHINGTON,DC,20006,20006, , , , , ,2028576600,HTTP://WWW.BNAIBRITH.ORG, , , , , , , , , , , , , , ,-77.04599,38.90211,2,2,1,11,001,2020 K ST NW,WASHINGTON,DC,20006,20006,0,0,0,0,1,0,0,0, 
8401100048,GMU, , , , , ,GERMAN-AMERICAN HERITAGE MUSEUM,GERMAN-AMERICAN HERITAGE MUSEUM, , ,719 6TH ST NW,WASHINGTON,DC,20001,20001, , , , , ,7196847869,HTTP://GAHFUSA.ORG/GAHM/GAHM.HTML, , , , , , , , , , , , , , ,-77.01958,38.89894,2,2,1,11,001,719 6TH ST NW,WASHINGTON,DC,20001,20001,0,0,0,0,1,0,0,0, 
8401100056,GMU, , , , , ,D.C. OFFICE OF PUBLIC RECORDS AND ARCHIVES,D.C. OFFICE OF PUBLIC RECORDS AND ARCHIVES, , ,1300 NAYLOR COURT NW,WASHINGTON,DC,20001,20001, , , , , , , , , , , , , , , , , , , , , ,-77.02443,38.9082,2,2,1,11,001,1300 NAYLOR COURT NW,WASHINGTON,DC,20001,20001,0,0,1,0,0,0,0,0, 
8401100059,GMU, , , , , ,SMITHSONIAN CENTER FOR FOLKLIFE AND CULTURAL HERTIAGE,SMITHSONIAN INSTITUTION CENTER FOR FOLKLIFE PROGRAMS AND CULTURAL HERTIAGE, , ,955 LENFANT PLZ SW 2600,WASHINGTON,DC,20024,20024,600 MARYLAND AVENUE SW,WASHINGTON,DC,20024,20024,2026336440,HTTP://WWW.FOLKLIFE.SI.EDU/, , , , , , , , , , , , , , ,-77.02073,38.88598,2,2,1,11,001,600 MARYLAND AVENUE SW,WASHINGTON,DC,20024,20024,0,1,0,0,0,1,0,0, 
8401100060,GMU, , , , , ,AMERICAN RED CROSS MUSEUM,AMERICAN RED CROSS MUSEUM, , ,430 17TH STREET NW,WASHINGTON,DC,20006,20006, , , , , ,2026393331, , , , , , , , , , , , , , , ,-77.03955,38.89499,2,2,1,11,001,430 17TH STREET NW,WASHINGTON,DC,20006,20006,0,0,1,0,0,0,0,0, 
8401100061,GMU,530179971, , , ,813311,B'NAI B'RITH KLUTZNICK MUSEUM,B NAI B RITH, , ,2020 K STREET NW,WASHINGTON,DC,20006,20006, , , , , , , ,B NAI B RITH,201306,7,8759917,7002140,2020 K ST NW FL 7,WASHINGTON,DC,20006-1828,199701, , , , ,-77.04599,38.90211,2,2,1,11,001,2020 K ST NW FL 7,WASHINGTON,DC,20006-1828,20006,1,0,1,0,0,0,0,0, 
8401100063,GMU, , , , , ,ANACOSTIA COMMUNITY MUSEUM,ANACOSTIA COMMUNITY MUSEUM, , ,1901 FORT PL SE,WASHINGTON,DC,20020,20020, , , , , ,2026334820,HTTP://ANACOSTIA.SI.EDU, , , , , , , , , , , , , , ,-76.97649,38.85661,2,2,1,11,001,1901 FORT PL SE,WASHINGTON,DC,20020,20020,0,0,0,0,1,1,0,0, 
8401100066,GMU, , , , , ,ADOBE DESIGN CENTER AND SHOWROOM,ADOBE DESIGN CENTER AND SHOWROOM, , ,654 H ST NE,WASHINGTON,DC,20002,20002, , , , , ,2025299006,HTTP://FLAVORS.ME/, , , , , , , , , , , , , , ,-76.99653,38.90043,2,2,1,11,001,654 H ST NE,WASHINGTON,DC,20002,20002,0,0,0,0,1,0,0,0, 
8401100071,GMU,042770150, ,A50, ,712110,NATIONAL PLASTICS MUSEUM,NATIONAL PLASTICS MUSEUM INC, , ,1667 K ST NW STE 1000,WASHINGTON,DC,20006-1620,20006, , , , , , ,HTTP://WWW.PLASTICSINDUSTRY.ORG/CAREERCENTER/CONTENT.CFM?ITEMNUMBER=1219&NAVITEMNUMBER=1079,NATIONAL PLASTICS MUSEUM INC,201406,0,0,0,1667 K ST NW STE 1000,WASHINGTON,DC,20006-1620,198306, , , , ,-77.03815,38.90302,2,2,1,11,001,1667 K ST NW STE 1000,WASHINGTON,DC,20006-1620,20006,1,1,0,0,1,0,0,0, 
8401100076,GMU,133157306, , , , ,BLACK FASHION MUSEUM,BLACK FASHION MUSEUM, , ,2007 VERMONT AVENUE NW,WASHINGTON,DC,20001,20001, , , , , , , , , , , , , , , , , , , , , ,-77.02457,38.91759,2,2,1,11,001,2007 VERMONT AVENUE NW,WASHINGTON,DC,20001,20001,0,1,0,0,0,0,0,0, 
8401100080,GMU,200472248, ,A50, ,712110,KUSH,KUSH INC, , ,4545 42ND ST NW STE 208,WASHINGTON,DC,20016-4623,20016, , , , , , , ,KUSH INC,201102,4,150269,786583,4545 42ND ST NW STE 208,WASHINGTON,DC,20016-4623,200409, , , , ,-77.08172,38.94921,2,2,1,11,001,4545 42ND ST NW STE 208,WASHINGTON,DC,20016-4623,20016,1,1,0,0,0,0,0,0, 
8401100081,GMU,200501059, , ,186160516, ,SHOOK MUSEUM,SHOOK MUSEUM FOUNDATION, , ,802 MASSACHUSETTS AVE NE,WASHINGTON,DC,20002,20002, , , , , , ,HTTP://SHOOKMUSEUM.ORG, , , , , , , , , , , , , , ,-76.99413,38.89172,2,2,1,11,001,802 MASSACHUSETTS AVE NE,WASHINGTON,DC,20002,20002,0,1,0,0,0,0,0,0, 
8401100082,GMU,200561242, ,A50, , ,NATIONAL MUSEUM OF THE JEWISH PEOPLE,NATIONAL MUSEUM OF THE JEWISH PEOPLE INC, , ,2312 CALIFORNIA ST NW,WASHINGTON,DC,20008-1637,20008, , , , , , , , , , , , , , , , , , , , , ,-77.05142,38.91531,2,2,1,11,001,2312 CALIFORNIA ST NW,WASHINGTON,DC,20008-1637,20008,0,1,0,0,0,0,0,0, 
8401100084,GMU,201730598, ,A50,006346299,712110,AMERICAN POETRY MUSEUM,AMERICAN POETRY MUSEUM, , ,1227 GOOD HOPE RD SE,WASHINGTON,DC,20020,20020,1227 GOOD HOPE ROAD SE SUITE 101,WASHINGTON,DC,20020,20020,2022490253,HTTP://AMERICANPOETRYMUSEUM.ORG/,AMERICAN POETRY MUSEUM,201306,2,19789,19789,1227 GOODHOPE ROAD SE SU,WASHINGTON,DC,20020-6907,200504, , , , ,-76.98792,38.867,2,2,1,11,001,1227 GOOD HOPE ROAD SE SUITE 101,WASHINGTON,DC,20020,20020,1,1,0,0,1,0,0,0, 
8401100085,GMU,202030054, ,B99, ,611000,PROVISIONS LEARNING PROJECT,PROVISIONS LEARNING PROJECT, , ,1611 CONNECTICUT AVENUE NWSECOND FLOOR,WASHINGTON,DC,20009-5728,20009,1611 CONNECTICUT AVENUE NWSECOND FLOOR,WASHINGTON,DC,20009-5728,20009,2022990460,HTTP://PROVISIONSLIBRARY.COM/,PROVISIONS LEARNING PROJECT,201308,4,121869,121869,5813 NEVADA AVE NW,WASHINGTON,DC,20015-2547,200508, , , , ,-77.03468,38.91719,2,2,1,11,001,1611 CONNECTICUT AVENUE NWSECOND FLOOR,WASHINGTON,DC,20009-5728,20009,1,0,0,1,0,0,0,0, 
8401100087,GMU,203985447, ,A50, ,510000,NEWSEUM,NEWSEUM INC, , ,555 PENNSYLVANIA AVENUE NW,WASHINGTON,DC,20001-2114,20001, , , , , ,2022926100,HTTP://WWW.NEWSEUM.ORG,NEWSEUM INC,201312,9,62624477,62589252,555 PENNSYLVANIA AVE NW,WASHINGTON,DC,20001-2114,200603, , , , ,-77.01918,38.89316,2,2,1,11,001,555 PENNSYLVANIA AVE NW,WASHINGTON,DC,20001-2114,20001,1,1,0,1,1,0,0,0, 
8401100097,GMU,237392987, , , , ,FONDO DEL SOL MUSEUM,FONDO DEL SOL MUSEUM INC, , ,2112 R ST NW,WASHINGTON,DC,20008-1932,20008, , , , , ,2024832777,HTTP://WWW.FONDODELSOL.ORG, , , , , , , , , , , , , , ,-77.04716,38.91237,2,2,1,11,001,2112 R ST NW,WASHINGTON,DC,20008-1932,20008,0,0,0,0,1,0,0,0, 
8401100099,GMU,237424418, ,A03,197754679,813219,FOUNDATION OF THE AMERICAN INSTITUTE FOR CONSERVATION OF HISTORIC AND ART WORKS,FOUNDATION OF THE AMERICAN INSTITUTE FOR CONSERVATION OF HISTORIC AND ART WORKS,FOUNDATION OF THE AMERICAN INSTITUTE FOR CONSERVATION OF HISTORIC AND ART WORKS, ,1156 15TH STREET NW,WASHINGTON,DC,20005-1714,20005, , , , , , , ,FOUNDTN OF AMER INST FOR CNSRVTN OF HISTORIC & ATRISTIC WOR,201312,6,1386737,1174035,1156 15TH ST NW STE 320,WASHINGTON,DC,20005-1714,197311, , , , ,-77.03505,38.90537,2,2,1,11,001,1156 15TH ST NW STE 320,WASHINGTON,DC,20005-1714,20005,1,0,1,1,0,0,0,0, 
8401100106,GMU,271822749, ,A70, ,712110,AMERICAN WRITERS MUSEUM,AMERICAN WRITERS MUSEUM FOUNDATION, , ,1999 K STREET NW STE 1109,WASHINGTON,DC,20006-1101,20006, , , , , , , ,AMERICAN WRITERS MUSEUM FOUNDATION,201312,4,244408,244408,1999 K STREET NW STE 110,WASHINGTON,DC,20006-1101,201007, , , , ,-77.04454,38.90305,2,2,1,11,001,1999 K STREET NW STE 110,WASHINGTON,DC,20006-1101,20006,1,1,0,0,0,0,0,0, 
8401100107,GMU,272237422, ,A50, ,712110,IKG CULTURAL CIRCLES,IKG CULTURAL CIRCLES INC, , ,1816 12TH ST NW,WASHINGTON,DC,20009-4422,20009, , , , , , , ,IKG CULTURAL CIRCLES INC,201312,3,67863,67863,1816 12TH ST NW,WASHINGTON,DC,20009-4422,201008, , , , ,-77.02817,38.91462,2,2,1,11,001,1816 12TH ST NW,WASHINGTON,DC,20009-4422,20009,1,1,0,0,0,0,0,0, 
8401100113,GMU,311550078, ,A50,165272019,712110,O STREET MUSEUM,O STREET MUSEUM FOUNDATION, , ,2020 O ST NW,WASHINGTON,DC,20036-5912,20036, , , , , ,2024962070, ,O STREET MUSEUM FOUNDATION,201312,4,110101, ,2020 O ST NW,WASHINGTON,DC,20036-5912,199710, , , , ,-77.04601,38.90826,2,2,1,11,001,2020 O ST NW,WASHINGTON,DC,20036-5912,20036,1,1,0,0,0,0,0,0, 
8401100122,GMU,450705201, ,A51, , ,INTERNATIONAL MUSEUM OF WOMEN,INTERNATIONAL MUSEUM OF WOMEN, ,FOUNDATION FOR THE INTERNATIONAL MUSEUM FOR WOMEN IN,505 9TH ST NW STE,WASHINGTON,DC,20004-2166,20004, , , , , , , , , , , , , , , , , , , , , ,-77.02346,38.8965,2,2,1,11,001,505 9TH ST NW STE,WASHINGTON,DC,20004-2166,20004,0,1,0,0,0,0,0,0, 
8401100124,GMU,452993319, ,A50, ,712110,MUSEUM FOR BLACK INNOVATION & ENTREPRENEURSHIP,MUSEUM FOR BLACK INNOVATION & ENTREPRENEURSHIP, , ,3973 HARRISON STREET NW,WASHINGTON,DC,20015-1937,20015, , , , , , , ,MUSEUM FOR BLACK INNOVATION & ENTREPRENEURSHIP,201212,0,0,0,3973 HARRISON ST NW,WASHINGTON,DC,20015-1937,201302, , , , ,-77.07859,38.95722,2,2,1,11,001,3973 HARRISON ST NW,WASHINGTON,DC,20015-1937,20015,1,1,0,0,0,0,0,0, 
8401100127,GMU,461153161, ,A50, ,712110,AMERICAN MUSEUM OF PEACE,AMERICAN MUSEUM OF PEACE INC, , ,438 15TH ST NE,WASHINGTON,DC,20002-5568,20002,4201 CATHEDRAL AVE NW,WASHINGTON,DC,20002-5568,20002,2026869700, ,AMERICAN MUSEUM OF PEACE INC,201312,2,12374,12374,5926 OVERBROOK AVE,PHILADELPHIA,PA,19131-1223,201311, , , , ,-77.08058,38.93032,2,2,1,11,001,4201 CATHEDRAL AVE NW,WASHINGTON,DC,20002-5568,20002,1,1,0,0,0,0,0,0, 
8401100136,GMU,521050999, ,A50,053414579,712110,NATIONAL BUILDING MUSEUM,NATIONAL BUILDING MUSEUM, ,NBM,401 F ST NW 4TH FLOOR,WASHINGTON,DC,20001-2637,20001, , , , , ,2022722448,HTTP://WWW.NBM.ORG,NATIONAL BUILDING MUSEUM,201309,7,7867658,7026975,401 F ST NW 4TH FLOOR,WASHINGTON,DC,20001-2637,197602, , , , ,-77.01752,38.89779,2,2,1,11,001,401 F ST NW 4TH FLOOR,WASHINGTON,DC,20001-2637,20001,1,1,1,0,1,0,0,0, 
8401100145,GMU,521301554, ,A54, , ,BETHUNE MEMORIAL MUSEUM,BETHUNE MEMORIAL MUSEUM, , ,1318 VERMONT AVE NW,WASHINGTON,DC,20005-3607,20005, , , , , ,2026732402,HTTP://WWW.NPS.GOV/MAMC/INDEX.HTM, , , , , , , , , , , , , , ,-77.03091,38.90833,2,2,1,11,001,1318 VERMONT AVE NW,WASHINGTON,DC,20005-3607,20005,0,1,0,0,0,0,0,0, 
8401100149,GMU,521382926, , ,180658775,813219,NATIONAL LAW ENFORCEMENT OFFICERS MEMORIAL,NATIONAL LAW ENFORCEMENT OFFICERS MEMORIAL FUND INC, , ,400 7TH STREET NW SUITE 300,WASHINGTON,DC,20004,20004, , , , , ,2027373400, ,NATIONAL LAW ENFORCEMENT OFFICERS MEMORIAL FUND INC,201312,8,19754324,17405627,901 E ST NW STE 100,WASHINGTON,DC,20004-2025,198510, , , , ,-77.02397,38.89622,2,2,1,11,001,901 E ST NW STE 100,WASHINGTON,DC,20004-2025,20004,1,0,1,0,0,0,0,0, 
8401100176,GMU,522066863, ,A23,362770401,813110,COLLECTIONS & STORIES OF AMERICAN MUSLIMS,COLLECTIONS & STORIES OF AMERICAN MUSLIMS,COLLECTONS STRIES AMRCN MSLIMS, ,2524 ELVANS RD SE,WASHINGTON,DC,20020-3508,20020, , , , , ,2026786906,HTTP://WWW.MUSLIMSINAMERICA.ORG/,COLLECTIONS & STORIES OF AMERICAN MUSLIMS,201312,4,255982,255532,2524 ELVANS RD SE,WASHINGTON,DC,20020-3508,201302, , , , ,-76.99062,38.85404,2,2,1,11,001,2524 ELVANS RD SE,WASHINGTON,DC,20020-3508,20020,1,1,0,0,0,0,0,0, 
8401100178,GMU,522123865, ,A50, ,711130,ARCHIE EDWARDS BLUES HERITAGE FOUNDATION,ARCHIE EDWARDS BLUES HERITAGE FOUNDATION INC, , ,PO BOX 10124,WASHINGTON,DC,20018-0124,20018, , , , , ,2025267539, ,ARCHIE EDWARDS BLUES HERITAGE FOUNDATION INC,201312,3,34551,34356,PO BOX 10124,WASHINGTON,DC,20018-0124,199811, , , , ,-76.97666,38.92769,2,2,1,11,001,PO BOX 10124,WASHINGTON,DC,20018-0124,20018,1,1,0,0,1,0,0,0, 
8401100192,GMU,526071828, , , ,712110,CONGRESSIONAL CLUB MUSEUM,CONGRESSIONAL CLUB MUSEUM AND FOUNDATION, , ,2001 NEW HAMPSHIRE AVE NW,WASHINGTON,DC,20009,20009, , , , , ,2023321155,HTTP://THECONGRESSIONALCLUB.COM,CONGRESSIONAL CLUB MUSEUM AND FOUNDATION,201312,0,0,0,2001 NEW HAMPSHIRE AVE N,WASHINGTON,DC,20009-3414,196704, , , , ,-77.03529,38.91778,2,2,1,11,001,2001 NEW HAMPSHIRE AVE N,WASHINGTON,DC,20009-3414,20009,1,1,0,0,1,0,0,0, 
8401100213,GMU,571025197, ,A50,944322429,712110,INTERNATIONAL ARTS AND ARTISTS,INTERNATIONAL ARTS AND ARTISTS INC,INTERNATIONAL ARTS & ARTISTS, ,9 HILLYER COURT NW FLR 2,WASHINGTON,DC,20008-1930,20008, , , , , ,2023380680,HTTP://WWW.ARTSANDARTISTS.ORG,INTERNATIONAL ARTS AND ARTISTS INC,201312,6,1777520,1777520,9 HILLYER COURT NW FLR 2,WASHINGTON,DC,20008-1930,199612, , , , ,-77.04839,38.91184,2,2,1,11,001,9 HILLYER COURT NW FLR 2,WASHINGTON,DC,20008-1930,20008,1,1,1,0,0,0,0,0, 
